date,cpr1,cpr2,cpr3,cdr_pump,cdr_fan1,cdr_fan2,cdr_fan3,cp_in_pa,cp_in_temp,cp_ex_pa,cp_liq_temp,cp_ex_temp,cp_env_temp,fre3_fan1,fre1_fan1,fre2_fan1,fre3_fan2,fre1_fan2,fre2_fan2,pf_fan1&2,fre1_fan3,fre2_fan3,fre3_fan3,pf_fan3&4,fre3_fan4,fre1_fan4,fre2_fan4,fre1_fan5,pf_fan5&6,fre1_fan6,fre1_temp1,fre1_temp2,fre1_temp3,fre1_temp4,fre1_temp5,fre1_temp6,fre1_temp_avg,fre2_door1,fre2_door2,fre2_door3,fre2_temp1,fre2_temp2,fre2_temp3,fre2_temp4,fre2_temp_avg,fre3_temp1,fre3_temp2,fre3_temp3,fre3_temp4,fre3_temp_avg,OT,fre1_temp_up,fre1_temp_low,fre2_temp_up,fre2_temp_low,fre3_temp_up,fre3_temp_low
2023-06-26 18:00:00,66.66666666666667,50.0,66.66666666666667,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2.942095,27.21666666666667,16.096876666666667,33.155,62.88833333333333,34.09,0.0070574817217486,0.716448118774022,0.7442198532465735,0.0070574817217486,0.716448118774022,0.7442198532465735,0.0970311368573497,0.7164316370324953,0.7447967142000093,0.0070442963285272,0.0975339930806983,0.0070442963285272,0.7164316370324953,0.7447967142000093,0.7164283406841901,0.0961461099042561,0.7164283406841901,16.35994557728948,16.183330201802445,16.619578528905677,17.31813219015974,16.917782777239374,17.307312750934514,16.784343850827053,0.0488373964116179,0.0944766272427387,0.0126317483305173,16.022805686860096,17.398890515087384,17.01771296058227,17.48096467633156,16.980090427074888,24.353540508824324,24.387264393504875,24.42781445514659,24.380392825827546,24.387250293375,172.8333283333333,1.3639630017866209,-1.9761278455726743,1.0348819577671855,-1.6442811653250526,-2.1290157763229893,-6.907039681440899
2023-06-26 19:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,2.65419,20.10892857142857,16.924287142857143,36.08428571428571,78.47714285714287,35.902857142857144,0.0,1.0,1.0,0.0,1.0,1.0,0.0970311368573497,1.0,1.0,0.0,0.0975339930806983,0.0,1.0,1.0,1.0,0.0961461099042561,1.0,18.84142857142857,20.39428571428571,19.20142857142857,21.47,20.587142857142855,21.42142857142857,20.31928571428572,0.0488373964116179,0.0944766272427387,0.0126317483305173,16.368571428571432,18.49714285714285,18.177142857142854,19.325714285714287,18.092142857142857,27.07,27.07857142857143,27.09714285714286,27.071428571428573,27.081071428571427,271.48571142857145,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-26 20:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,2.4507485714285715,16.248214285714287,16.708125714285714,35.580000000000005,76.85428571428572,35.847142857142856,0.0,1.0,1.0,0.0,1.0,1.0,0.0970311368573497,1.0,1.0,0.0,0.0975339930806983,0.0,1.0,1.0,1.0,0.0961461099042561,1.0,16.554285714285715,17.87142857142857,16.90142857142857,18.641428571428573,17.529999999999998,18.47714285714286,17.661667142857144,0.0488373964116179,0.0944766272427387,0.0126317483305173,12.78,13.810000000000002,13.42857142857143,14.701428571428574,13.68214285714286,27.07,27.07,27.09,27.044285714285717,27.06857142857143,269.9999971428571,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-26 21:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,2.308812857142857,8.105357142857143,16.301518571428574,34.63142857142857,73.98142857142857,35.12,0.0,1.0,1.0,0.0,1.0,1.0,0.0970311368573497,1.0,1.0,0.0,0.0975339930806983,0.0,1.0,1.0,1.0,0.0961461099042561,1.0,15.007142857142858,15.81,15.87857142857143,16.63714285714286,15.111428571428572,16.474285714285713,15.818332857142858,0.0488373964116179,0.0944766272427387,0.0126317483305173,11.084285714285716,10.70142857142857,10.202857142857145,11.489999999999998,10.871785714285716,27.044285714285717,27.054285714285715,27.08142857142857,27.004285714285714,27.04607142857143,266.8571385714285,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-26 22:00:00,85.71428571428571,100.0,100.0,1.0,1.0,1.0,1.0,2.0618757142857143,1.3875,16.142145714285714,31.982857142857146,74.32857142857144,34.34285714285714,0.0,0.8571428571428571,0.4285714285714285,0.0,0.8571428571428571,0.4285714285714285,0.0970311368573497,0.8571428571428571,1.0,0.0,0.0975339930806983,0.0,0.8571428571428571,1.0,0.8571428571428571,0.0961461099042561,0.8571428571428571,14.245714285714286,14.854285714285714,15.218571428571428,15.497142857142856,14.17,15.272857142857143,14.877857142857142,0.0488373964116179,0.0944766272427387,0.0126317483305173,10.585714285714287,10.521428571428572,10.768571428571429,10.921428571428573,10.699285714285711,26.945714285714285,26.958571428571428,27.014285714285712,26.925714285714285,26.961071428571422,248.9714314285714,9.285714285714286,6.428571428571429,8.0,5.0,-1.0,-6.0
2023-06-26 23:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,2.107625714285714,0.1892857142857143,15.500622857142856,33.09428571428571,72.47285714285714,33.88285714285714,0.0,1.0,0.7142857142857143,0.0,1.0,0.7142857142857143,0.0970311368573497,1.0,0.8571428571428571,0.0,0.0975339930806983,0.0,1.0,0.8571428571428571,1.0,0.0961461099042561,1.0,12.24,12.965714285714286,13.574285714285711,13.782857142857145,12.27,13.552857142857144,13.064284285714283,0.0488373964116179,0.0944766272427387,0.0126317483305173,11.679999999999998,11.531428571428572,11.392857142857142,11.957142857142856,11.640357142857145,26.84142857142857,26.860000000000003,26.88,26.83285714285714,26.85357142857143,250.2000042857143,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-27 00:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.8436257142857144,-5.214285714285714,16.076517142857142,32.49285714285715,73.62571428571428,33.44428571428572,0.0,1.0,1.0,0.0,1.0,1.0,0.0970311368573497,1.0,0.5714285714285714,0.0,0.0975339930806983,0.0,1.0,0.5714285714285714,1.0,0.0961461099042561,1.0,11.04,11.924285714285714,12.487142857142858,12.71,11.214285714285714,12.518571428571429,11.98238142857143,0.0488373964116179,0.0944766272427387,0.0126317483305173,10.224285714285712,10.59,10.42,9.737142857142857,10.242857142857144,26.74428571428572,26.79,26.798571428571424,26.73428571428571,26.765,263.31428857142856,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-27 01:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.7678742857142855,-1.3535714285714289,16.624554285714286,32.948571428571434,73.37571428571428,33.067142857142855,0.0,0.5714285714285714,1.0,0.0,0.5714285714285714,1.0,0.0970311368573497,1.0,1.0,0.0,0.0975339930806983,0.0,1.0,1.0,1.0,0.0961461099042561,1.0,10.758571428571427,12.06142857142857,11.56857142857143,12.69,11.638571428571428,12.374285714285715,11.849285714285712,0.0488373964116179,0.0944766272427387,0.0126317483305173,6.117142857142857,7.134285714285714,6.552857142857143,7.652857142857143,6.864285714285714,26.65,26.680000000000003,26.687142857142856,26.617142857142856,26.658571428571427,272.1714257142857,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-27 02:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.7883114285714286,8.560714285714285,16.378397142857143,31.31,75.3442857142857,32.78285714285714,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0970311368573497,0.5714285714285714,0.8571428571428571,0.0,0.0975339930806983,0.0,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0961461099042561,0.8571428571428571,11.14857142857143,12.19,11.874285714285715,12.58,12.041428571428572,12.458571428571428,12.049522857142858,0.0488373964116179,0.0944766272427387,0.0126317483305173,5.682857142857143,6.478571428571429,5.884285714285714,6.877142857142857,6.230714285714286,26.515714285714285,26.54714285714286,26.54714285714286,26.47714285714286,26.52178571428572,266.1428557142857,8.0,5.0,8.0,5.0,-1.0,-6.0
2023-06-27 03:00:00,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.9895,8.660714285714286,16.050534285714285,31.385714285714283,75.37,32.75,0.0,1.0,0.7142857142857143,0.0,1.0,0.7142857142857143,0.0970311368573497,1.0,0.7142857142857143,0.0,0.0975339930806983,0.0,1.0,0.7142857142857143,0.5714285714285714,0.0961461099042561,0.5714285714285714,11.04714285714286,11.04,11.962857142857144,11.63,10.858571428571429,11.471428571428572,11.33499857142857,0.0488373964116179,0.0944766272427387,0.0126317483305173,5.785714285714286,6.49,5.964285714285714,6.798571428571429,6.2596428571428575,26.455714285714286,26.478571428571428,26.47285714285714,26.415714285714284,26.455714285714286,258.48571,8.0,5.0,8.0,5.0,-1.0,-6.0
